system,SOD,nPRN,vtec_1,vtec_2,vtec_3,vtec_4,vtec_5,vtec_6,vtec_7,vtec_8,vtec_9,vtec_10,vtec_11,vtec_12,vtec_13,vtec_14,vtec_15,vtec_16,vtec_17,vtec_18,vtec_19,vtec_20,vtec_21,vtec_22,vtec_23,vtec_24,vtec_25,vtec_26,vtec_27,vtec_28,vtec_29,vtec_30,vtec_31,vtec_32,stec_1,stec_2,stec_3,stec_4,stec_5,stec_6,stec_7,stec_8,stec_9,stec_10,stec_11,stec_12,stec_13,stec_14,stec_15,stec_16,stec_17,stec_18,stec_19,stec_20,stec_21,stec_22,stec_23,stec_24,stec_25,stec_26,stec_27,stec_28,stec_29,stec_30,stec_31,stec_32,roti_1,roti_2,roti_3,roti_4,roti_5,roti_6,roti_7,roti_8,roti_9,roti_10,roti_11,roti_12,roti_13,roti_14,roti_15,roti_16,roti_17,roti_18,roti_19,roti_20,roti_21,roti_22,roti_23,roti_24,roti_25,roti_26,roti_27,roti_28,roti_29,roti_30,roti_31,roti_32,ipplat_1,ipplat_2,ipplat_3,ipplat_4,ipplat_5,ipplat_6,ipplat_7,ipplat_8,ipplat_9,ipplat_10,ipplat_11,ipplat_12,ipplat_13,ipplat_14,ipplat_15,ipplat_16,ipplat_17,ipplat_18,ipplat_19,ipplat_20,ipplat_21,ipplat_22,ipplat_23,ipplat_24,ipplat_25,ipplat_26,ipplat_27,ipplat_28,ipplat_29,ipplat_30,ipplat_31,ipplat_32,ipplon_1,ipplon_2,ipplon_3,ipplon_4,ipplon_5,ipplon_6,ipplon_7,ipplon_8,ipplon_9,ipplon_10,ipplon_11,ipplon_12,ipplon_13,ipplon_14,ipplon_15,ipplon_16,ipplon_17,ipplon_18,ipplon_19,ipplon_20,ipplon_21,ipplon_22,ipplon_23,ipplon_24,ipplon_25,ipplon_26,ipplon_27,ipplon_28,ipplon_29,ipplon_30,ipplon_31,ipplon_32
GPS,301,32,,,,,,,,,,,,,,,,,,-0.2109158353825933,,,,,0.5951311051990764,19.845105328271842,,,,,,,,,,,,,,,,,,,,,,,,,,0.005584290738216424,,,,,4.5006437181783525,24.523270750964706,,,,,,,,,,,,,,,,,,,,,,,,,,0.050643504525774305,,,,,0.0656121656449135,0.031470733913582336,,,,,,,,,,,,,,,,,,,,,,,,,,19.535745737250036,,,,,22.16598616270464,18.96276116379584,,,,,,,,,,,,,,,,,,,,,,,,,,98.77260082774669,,,,,98.07670641210683,100.98180181277813,,,,,,,,
GPS,331,32,,,,,,,,,,,,,,,,,,-0.10039048995990463,,,,,0.7068528364621418,20.030662634012863,,,,,,,,,,,,,,,,,,,,,,,,,,0.111045417643588,,,,,4.648373819396326,24.75233843859904,,,,,,,,,,,,,,,,,,,,,,,,,,0.01780786723703952,,,,,0.05167337532633297,0.07698364873585081,,,,,,,,,,,,,,,,,,,,,,,,,,19.521789588106657,,,,,22.161414227372727,18.97879189155273,,,,,,,,,,,,,,,,,,,,,,,,,,98.7763734502569,,,,,98.09569800888303,100.98342032182758,,,,,,,,
GPS,361,32,,,,,,,,,,,,,,,,,,0.061846224098505154,,,,,0.8118322402129632,20.126859836082527,,,,,,,,,,,,,,,,,,,,,,,,,,0.26949370368404146,,,,,4.785898998083539,24.87781690126978,,,,,,,,,,,,,,,,,,,,,,,,,,0.05023045471224983,,,,,0.04619708811699873,0.05642277628380853,,,,,,,,,,,,,,,,,,,,,,,,,,19.507841521214097,,,,,22.15675759407502,18.994828207472825,,,,,,,,,,,,,,,,,,,,,,,,,,98.78010865959202,,,,,98.11464189896898,100.98507691195064,,,,,,,,
GPS,391,32,,,,,,,,,,,,,,,,,,0.23638452591030124,,,,,0.996335796406381,20.1601163678535,,,,,,,,,,,,,,,,,,,,,,,,,,0.44038114411029383,,,,,5.038727896293651,24.93050216018453,,,,,,,,,,,,,,,,,,,,,,,,,,0.01933101851573911,,,,,0.05052152938193827,0.10268547655113985,,,,,,,,,,,,,,,,,,,,,,,,,,19.49390123168358,,,,,22.152016655564037,19.010870715712322,,,,,,,,,,,,,,,,,,,,,,,,,,98.78380682166227,,,,,98.13353772773608,100.98677197450748,,,,,,,,
GPS,421,32,,,,,,,,,,,,,,,,,,0.3181475346673359,,,,,1.0835163109843222,20.22488608499377,,,,,,,,,,,,,,,,,,,,,,,,,,0.5160728453182841,,,,,5.149533008187049,25.020867212169883,,,,,,,,,,,,,,,,,,,,,,,,,,0.03535928086079382,,,,,0.027758030359708603,0.06049864726343404,,,,,,,,,,,,,,,,,,,,,,,,,,19.47996841387258,,,,,22.14719180662461,19.02692002208375,,,,,,,,,,,,,,,,,,,,,,,,,,98.787468300096,,,,,98.15238514458584,100.98850590420459,,,,,,,,
GPS,451,32,,,,,,,,,,,,,,,,,,0.4533485378263187,,,,,1.207962188292532,20.318646149220537,,,,,,,,,,,,,,,,,,,,,,,,,,0.6464424249148166,,,,,5.3141102978079715,25.146013630700722,,,,,,,,,,,,,,,,,,,,,,,,,,0.025871304658259684,,,,,0.05453127547667462,0.10804514149797388,,,,,,,,,,,,,,,,,,,,,,,,,,19.46604276133406,,,,,22.142283444015348,19.042976734154106,,,,,,,,,,,,,,,,,,,,,,,,,,98.79109345627984,,,,,98.17118380302172,100.99027909916192,,,,,,,,
GPS,481,32,,,,,,,,,,,,,,,,,,0.6173500333499184,,,,,1.4444398923348416,20.35862998100982,,,,,,,,,,,,,,,,,,,,,,,,,,0.8061588479198143,,,,,5.640608062905855,25.209024636068577,,,,,,,,,,,,,,,,,,,,,,,,,,0.027661250116739138,,,,,0.02782388859875468,0.0760479445934968,,,,,,,,,,,,,,,,,,,,,,,,,,19.452123966808283,,,,,22.137291966423046,19.05904146130763,,,,,,,,,,,,,,,,,,,,,,,,,,98.79468264938764,,,,,98.18993336066559,100.99209196097716,,,,,,,,
GPS,511,32,,,,,,,,,,,,,,,,,,0.7322029608802758,,,,,1.5539689260727183,20.409893571001312,,,,,,,,,,,,,,,,,,,,,,,,,,0.9155449259336415,,,,,5.782541240146756,25.286074941463248,,,,,,,,,,,,,,,,,,,,,,,,,,0.04990165206961854,,,,,0.04882699810463478,0.10725950368727215,,,,,,,,,,,,,,,,,,,,,,,,,,19.438211722205885,,,,,22.132217774410154,19.07511481480848,,,,,,,,,,,,,,,,,,,,,,,,,,98.79823623641097,,,,,98.20863347929968,100.9939448947907,,,,,,,,
GPS,541,32,,,,,,,,,,,,,,,,,,0.8821584789655557,,,,,1.6791697546599131,20.62426579903759,,,,,,,,,,,,,,,,,,,,,,,,,,1.0607086802298547,,,,,5.946756270781279,25.55526794516765,,,,,,,,,,,,,,,,,,,,,,,,,,0.025022274688323496,,,,,0.05782533259276042,0.07723404709998523,,,,,,,,,,,,,,,,,,,,,,,,,,19.42430571859099,,,,,22.127061270366177,19.09119740787085,,,,,,,,,,,,,,,,,,,,,,,,,,98.80175457218981,,,,,98.22728382489217,100.9958383093523,,,,,,,,
GPS,571,32,,,,,,,,,,,,,,,,,,1.008306291652966,,,,,1.846949721517614,20.64802384881213,,,,,,,,,,,,,,,,,,,,,,,,,,1.1815074235095757,,,,,6.172019760302632,25.601824235965374,,,,,,,,,,,,,,,,,,,,,,,,,,0.047233181492583313,,,,,0.058112664489686425,0.1001625002623165,,,,,,,,,,,,,,,,,,,,,,,,,,19.41040564616413,,,,,22.121822858459687,19.107289855726258,,,,,,,,,,,,,,,,,,,,,,,,,,98.80523800944279,,,,,98.2458840676188,100.99777261708776,,,,,,,,
GPS,601,32,,,,,,,,,,,,,,,,,,1.1187281395793018,,,,,1.9465188997230864,20.786331431447774,,,,,,,,,,,,,,,,,,,,,,,,,,1.2862439260519487,,,,,6.298343635795263,25.7837016529783,,,,,,,,,,,,,,,,,,,,,,,,,,0.018657264302519565,,,,,0.06285819235820703,0.09011237061233561,,,,,,,,,,,,,,,,,,,,,,,,,,19.39651119424466,,,,,22.116502944586095,19.123392775697855,,,,,,,,,,,,,,,,,,,,,,,,,,98.80868689879749,,,,,98.26443388189907,100.9997482341679,,,,,,,,
GPS,631,32,,,,,,,,,,,,,,,,,,1.2533971069781398,,,,,2.079253076245692,20.952147228132798,,,,,,,,,,,,,,,,,,,,,,,,,,1.415647410758023,,,,,6.472099323363622,25.998880937500843,,,,,,,,,,,,,,,,,,,,,,,,,,0.04725126509946067,,,,,0.05155289580542516,0.06143673346518144,,,,,,,,,,,,,,,,,,,,,,,,,,19.38262205125332,,,,,22.11110193631869,19.139506787259904,,,,,,,,,,,,,,,,,,,,,,,,,,98.8121015888205,,,,,98.28293294641821,101.00176558057585,,,,,,,,
GPS,661,32,,,,,,,,,,,,,,,,,,1.3477004389208052,,,,,2.2528087434352777,21.038832225230472,,,,,,,,,,,,,,,,,,,,,,,,,,1.5039593781132652,,,,,6.704125831752535,26.122064845014016,,,,,,,,,,,,,,,,,,,,,,,,,,0.02616549678764859,,,,,0.05455595583579173,0.07334826054975703,,,,,,,,,,,,,,,,,,,,,,,,,,19.36873790469428,,,,,22.10562024285638,19.15563251211778,,,,,,,,,,,,,,,,,,,,,,,,,,98.815482426047,,,,,98.30138094416016,101.00382508017816,,,,,,,,
GPS,691,32,,,,,,,,,,,,,,,,,,1.4087247749118514,,,,,2.4305813425355627,21.124751777895476,,,,,,,,,,,,,,,,,,,,,,,,,,1.558486395050224,,,,,6.941617184515152,26.245278931910192,,,,,,,,,,,,,,,,,,,,,,,,,,0.0276849051712677,,,,,0.0576532197992289,0.09269092569613091,,,,,,,,,,,,,,,,,,,,,,,,,,19.35485844113703,,,,,22.100058274975538,19.17177057427219,,,,,,,,,,,,,,,,,,,,,,,,,,98.81882975501085,,,,,98.31977756242438,101.00592716079453,,,,,,,,
GPS,721,32,,,,,,,,,,,,,,,,,,1.5574764344920649,,,,,2.5773008116407574,21.218747660137282,,,,,,,,,,,,,,,,,,,,,,,,,,1.7021707212374402,,,,,7.133941065513213,26.37893951825494,,,,,,,,,,,,,,,,,,,,,,,,,,0.032746791215214094,,,,,0.05482208862005781,0.06592014305288733,,,,,,,,,,,,,,,,,,,,,,,,,,19.340983346198158,,,,,22.09441644497889,19.187921600092352,,,,,,,,,,,,,,,,,,,,,,,,,,98.82214391827382,,,,,98.33812249285211,101.00807225426949,,,,,,,,
GPS,751,32,,,,,,,,,,,,,,,,,,1.7443338622663553,,,,,2.6303905877079305,21.427078771658017,,,,,,,,,,,,,,,,,,,,,,,,,,1.8844707914661498,,,,,7.191577835583175,26.648253345881656,,,,,,,,,,,,,,,,,,,,,,,,,,0.05680283580565406,,,,,0.05392731627718674,0.08910305491979768,,,,,,,,,,,,,,,,,,,,,,,,,,19.327112304522693,,,,,22.088695166644957,19.204086218393353,,,,,,,,,,,,,,,,,,,,,,,,,,98.82542525645512,,,,,98.35641543144936,101.01026079654561,,,,,,,,
GPS,781,32,,,,,,,,,,,,,,,,,,1.881368156084978,,,,,2.8839699791637194,21.518993874414253,,,,,,,,,,,,,,,,,,,,,,,,,,2.0161688667932296,,,,,7.536039851816369,26.781491208083736,,,,,,,,,,,,,,,,,,,,,,,,,,0.022050241595182193,,,,,0.0370563440384158,0.04636664067560557,,,,,,,,,,,,,,,,,,,,,,,,,,19.31324499976549,,,,,22.082894855174445,19.22026506050578,,,,,,,,,,,,,,,,,,,,,,,,,,98.82867410826059,,,,,98.37465607861785,101.01249322773673,,,,,,,,
GPS,811,32,,,,,,,,,,,,,,,,,,2.0456209557072427,,,,,2.97533812764509,21.637536804908233,,,,,,,,,,,,,,,,,,,,,,,,,,2.175432386272565,,,,,7.647720555914631,26.947125237134422,,,,,,,,,,,,,,,,,,,,,,,,,,0.07439189633654565,,,,,0.0657947792250332,0.06273279779024397,,,,,,,,,,,,,,,,,,,,,,,,,,19.29938111457201,,,,,22.077015927144362,19.23645876034263,,,,,,,,,,,,,,,,,,,,,,,,,,98.83189081051174,,,,,98.39284413916087,101.01476999220118,,,,,,,,
