system,SOD,nPRN,vtec_1,vtec_2,vtec_3,vtec_4,vtec_5,vtec_6,vtec_7,vtec_8,vtec_9,vtec_10,vtec_11,vtec_12,vtec_13,vtec_14,vtec_15,vtec_16,vtec_17,vtec_18,vtec_19,vtec_20,vtec_21,vtec_22,vtec_23,vtec_24,vtec_25,vtec_26,vtec_27,vtec_28,stec_1,stec_2,stec_3,stec_4,stec_5,stec_6,stec_7,stec_8,stec_9,stec_10,stec_11,stec_12,stec_13,stec_14,stec_15,stec_16,stec_17,stec_18,stec_19,stec_20,stec_21,stec_22,stec_23,stec_24,stec_25,stec_26,stec_27,stec_28,roti_1,roti_2,roti_3,roti_4,roti_5,roti_6,roti_7,roti_8,roti_9,roti_10,roti_11,roti_12,roti_13,roti_14,roti_15,roti_16,roti_17,roti_18,roti_19,roti_20,roti_21,roti_22,roti_23,roti_24,roti_25,roti_26,roti_27,roti_28,ipplat_1,ipplat_2,ipplat_3,ipplat_4,ipplat_5,ipplat_6,ipplat_7,ipplat_8,ipplat_9,ipplat_10,ipplat_11,ipplat_12,ipplat_13,ipplat_14,ipplat_15,ipplat_16,ipplat_17,ipplat_18,ipplat_19,ipplat_20,ipplat_21,ipplat_22,ipplat_23,ipplat_24,ipplat_25,ipplat_26,ipplat_27,ipplat_28,ipplon_1,ipplon_2,ipplon_3,ipplon_4,ipplon_5,ipplon_6,ipplon_7,ipplon_8,ipplon_9,ipplon_10,ipplon_11,ipplon_12,ipplon_13,ipplon_14,ipplon_15,ipplon_16,ipplon_17,ipplon_18,ipplon_19,ipplon_20,ipplon_21,ipplon_22,ipplon_23,ipplon_24,ipplon_25,ipplon_26,ipplon_27,ipplon_28
GAL,70291,28,,,,,,,,,,,,,,,,,,,6.560890547445631,,,,-1.10103819410722,,-4.303163759218872,-8.576628184336228,,,,,,,,,,,,,,,,,,,,,11.266622132792836,,,,1.6096604968046293,,-2.7376383274903304,-8.88944862252454,,,,,,,,,,,,,,,,,,,,,0.0690103132685066,,,,0.06865898119572555,,0.01908561603505862,0.011442115443618216,,,,,,,,,,,,,,,,,,,,,16.34469410354748,,,,17.48650163730959,,19.647178251908795,21.89053333962161,,,,,,,,,,,,,,,,,,,,,97.54059186150047,,,,101.999127261524,,95.47108647125276,97.8760749513271,,
GAL,70321,28,,,,,,,,,,,,,,,,,,,6.5811971344646185,,,,-1.188255723218341,,-4.21569358477956,-8.58070395598047,,,,,,,,,,,,,,,,,,,,,11.34127555975061,,,,1.4721320698807219,,-2.6124815667257124,-8.89521071567188,,,,,,,,,,,,,,,,,,,,,0.03996869147293837,,,,0.046525078832626875,,0.04015699542610347,0.04155066483006973,,,,,,,,,,,,,,,,,,,,,16.32647462913085,,,,17.503207427363435,,19.631915117367708,21.894552427031584,,,,,,,,,,,,,,,,,,,,,97.5386369912302,,,,101.99446436829955,,95.46905242159185,97.88964665116094,,
GAL,70351,28,,,,,,,,,,,,,,,,,,,6.580193609193746,,,,-1.2667329479680243,,-4.189192550003215,-8.615854808513204,,,,,,,,,,,,,,,,,,,,,11.387993992433639,,,,1.34737074752082,,-2.575338413529323,-8.944951425260555,,,,,,,,,,,,,,,,,,,,,0.02740707454571543,,,,0.09213793521655353,,0.02787585044195711,0.009471154755255262,,,,,,,,,,,,,,,,,,,,,16.308176706358307,,,,17.51986024872036,,19.616658660065276,21.898497645656352,,,,,,,,,,,,,,,,,,,,,97.53668828054892,,,,101.9898209348882,,95.46697091899631,97.9032381736826,,
GAL,70381,28,,,,,,,,,,,,,,,,,,,6.528253911219046,,,,-1.4281521811792688,,-4.165577272556372,-8.597284750744508,,,,,,,,,,,,,,,,,,,,,11.366950933962098,,,,1.1072821519556513,,-2.5422909399604308,-8.91865465716289,,,,,,,,,,,,,,,,,,,,,0.04176267360650371,,,,0.09535080382507743,,0.0441869044754756,0.03711614094805669,,,,,,,,,,,,,,,,,,,,,16.2897996586208,,,,17.536460645540522,,19.601408345378683,21.90236883936711,,,,,,,,,,,,,,,,,,,,,97.53474597564691,,,,101.98519709107869,,95.46484217734472,97.91684913284953,,
GAL,70411,28,,,,,,,,,,,,,,,,,,,6.475721119497756,,,,-1.4698088503995876,,-4.115636336834761,-8.661359752070041,,,,,,,,,,,,,,,,,,,,,11.345116998681153,,,,1.0350296080173607,,-2.471168238677997,-9.009323421071784,,,,,,,,,,,,,,,,,,,,,0.0393687095758533,,,,0.0625701498280996,,0.03482840245259931,0.013430138154730603,,,,,,,,,,,,,,,,,,,,,16.27134280480427,,,,17.553009159538366,,19.586163639799153,21.906165855242914,,,,,,,,,,,,,,,,,,,,,97.53281032537208,,,,101.98059296569683,,95.46266640786573,97.93047914044553,,
GAL,70441,28,,,,,,,,,,,,,,,,,,,6.465098012875641,,,,-1.5041288236337191,,-4.097228180869935,-8.663491052935926,,,,,,,,,,,,,,,,,,,,,11.379605028161112,,,,0.9733127359225691,,-2.445492864466509,-9.01231747801043,,,,,,,,,,,,,,,,,,,,,0.028697294212137084,,,,0.07055648042081716,,0.04371444968646265,0.03546103743020479,,,,,,,,,,,,,,,,,,,,,16.25280545928291,,,,17.56950632999593,,19.57092401090977,21.90988854359106,,,,,,,,,,,,,,,,,,,,,97.53088158127296,,,,101.97600868663683,,95.46044381917801,97.94412780610422,,
GAL,70471,28,,,,,,,,,,,,,,,,,,,6.440953112225916,,,,-1.5777972802754041,,-4.069460502835904,-8.677719732417843,,,,,,,,,,,,,,,,,,,,,11.396157033848919,,,,0.857194585907898,,-2.4062312889146042,-9.03242842934057,,,,,,,,,,,,,,,,,,,,,0.049280943262052956,,,,0.021268046793016616,,0.031072703990208617,0.013888114106370726,,,,,,,,,,,,,,,,,,,,,16.234186931919186,,,,17.585952693759616,,19.55568892734687,21.91353675796808,,,,,,,,,,,,,,,,,,,,,97.528959997643,,,,101.97144438089693,,95.4581746173273,97.95779473733381,,
GAL,70501,28,,,,,,,,,,,,,,,,,,,6.43404353129122,,,,-1.6420029905339977,,-3.9983264321502356,-8.694566401577346,,,,,,,,,,,,,,,,,,,,,11.436181168370506,,,,0.7546626046094005,,-2.30432076675077,-9.056239556645039,,,,,,,,,,,,,,,,,,,,,0.03130737626397586,,,,0.0847754727500815,,0.03907037126965212,0.027068479140206762,,,,,,,,,,,,,,,,,,,,,16.215486527973386,,,,17.602348785317997,,19.540457858710383,21.917110355217442,,,,,,,,,,,,,,,,,,,,,97.52704583155594,,,,101.96690017459217,,95.45585900581571,97.97147953960781,,
GAL,70531,28,,,,,,,,,,,,,,,,,,,6.42081550829448,,,,-1.703894671514834,,-3.982820701161123,-8.727084752723258,,,,,,,,,,,,,,,,,,,,,11.46795763420003,,,,0.6557461067599704,,-2.2825998092105593,-9.102223585076914,,,,,,,,,,,,,,,,,,,,,0.04899697269261247,,,,0.039575532907084716,,0.032361772365246975,0.022351428969623346,,,,,,,,,,,,,,,,,,,,,16.19670356926653,,,,17.618695132965527,,19.52523027556718,21.920609195481653,,,,,,,,,,,,,,,,,,,,,97.52513934044087,,,,101.9623761801089,,95.45349718564385,97.98518181636297,,
GAL,70561,28,,,,,,,,,,,,,,,,,,,6.428942349480472,,,,-1.7828950244067938,,-3.9713688850697078,-8.718450887894331,,,,,,,,,,,,,,,,,,,,,11.528996639850387,,,,0.5335551503427709,,-2.2666409774419307,-9.089964961906844,,,,,,,,,,,,,,,,,,,,,0.03126939008259123,,,,0.06941663339312618,,0.02851358529339864,0.020646527200974943,,,,,,,,,,,,,,,,,,,,,16.17783730950551,,,,17.634992273847292,,19.510005649414467,21.92403314222305,,,,,,,,,,,,,,,,,,,,,97.52324079219427,,,,101.95787254776808,,95.45108935534778,97.99890116902912,,
