system,SOD,nPRN,vtec_1,vtec_2,vtec_3,vtec_4,vtec_5,vtec_6,vtec_7,vtec_8,vtec_9,vtec_10,vtec_11,vtec_12,vtec_13,vtec_14,vtec_15,vtec_16,vtec_17,vtec_18,vtec_19,vtec_20,vtec_21,vtec_22,vtec_23,vtec_24,stec_1,stec_2,stec_3,stec_4,stec_5,stec_6,stec_7,stec_8,stec_9,stec_10,stec_11,stec_12,stec_13,stec_14,stec_15,stec_16,stec_17,stec_18,stec_19,stec_20,stec_21,stec_22,stec_23,stec_24,roti_1,roti_2,roti_3,roti_4,roti_5,roti_6,roti_7,roti_8,roti_9,roti_10,roti_11,roti_12,roti_13,roti_14,roti_15,roti_16,roti_17,roti_18,roti_19,roti_20,roti_21,roti_22,roti_23,roti_24,ipplat_1,ipplat_2,ipplat_3,ipplat_4,ipplat_5,ipplat_6,ipplat_7,ipplat_8,ipplat_9,ipplat_10,ipplat_11,ipplat_12,ipplat_13,ipplat_14,ipplat_15,ipplat_16,ipplat_17,ipplat_18,ipplat_19,ipplat_20,ipplat_21,ipplat_22,ipplat_23,ipplat_24,ipplon_1,ipplon_2,ipplon_3,ipplon_4,ipplon_5,ipplon_6,ipplon_7,ipplon_8,ipplon_9,ipplon_10,ipplon_11,ipplon_12,ipplon_13,ipplon_14,ipplon_15,ipplon_16,ipplon_17,ipplon_18,ipplon_19,ipplon_20,ipplon_21,ipplon_22,ipplon_23,ipplon_24
GLO,32551,24,,,,,,,-110.6636316350058,-111.48234017136303,,,,,,,,,,,,,,,,,,,,,,,-112.31547015610434,-118.62576108525784,,,,,,,,,,,,,,,,,,,,,,,0.044318664250565826,0.06512720696312974,,,,,,,,,,,,,,,,,,,,,,,17.71744736643564,21.382388378942668,,,,,,,,,,,,,,,,,,,,,,,97.6581881920802,96.07858577507282,,,,,,,,,,,,,,,,
GLO,32581,24,,,,,,,-110.52704308915733,-111.49236788439592,,,,,,,,,,,,,,,,,,,,,,,-112.19007772526987,-118.58144357522968,,,,,,,,,,,,,,,,,,,,,,,0.07139867365168243,0.059702440799419165,,,,,,,,,,,,,,,,,,,,,,,17.697935775301634,21.355600765458963,,,,,,,,,,,,,,,,,,,,,,,97.65494349382656,96.08154182354271,,,,,,,,,,,,,,,,
GLO,32611,24,,,,,,,-110.29028263484582,-111.47764463397027,,,,,,,,,,,,,,,,,,,,,,,-111.95128464120026,-118.5006293713012,,,,,,,,,,,,,,,,,,,,,,,0.06344404336296036,0.03407555677239319,,,,,,,,,,,,,,,,,,,,,,,17.67835504765129,21.328972065130372,,,,,,,,,,,,,,,,,,,,,,,97.65167805328367,96.08437905068381,,,,,,,,,,,,,,,,
GLO,32641,24,,,,,,,-110.07659267379101,-111.53570558805922,,,,,,,,,,,,,,,,,,,,,,,-111.73803934094303,-118.53008747236069,,,,,,,,,,,,,,,,,,,,,,,0.07087238158521683,0.054254072668976666,,,,,,,,,,,,,,,,,,,,,,,17.65870395273119,21.30249951572418,,,,,,,,,,,,,,,,,,,,,,,97.6483920160333,96.0870988126702,,,,,,,,,,,,,,,,
GLO,32671,24,,,,,,,-109.91707942762731,-111.63599420364181,,,,,,,,,,,,,,,,,,,,,,,-111.58579572354054,-118.6231542070931,,,,,,,,,,,,,,,,,,,,,,,0.044755548010299774,0.032232989188781494,,,,,,,,,,,,,,,,,,,,,,,17.638981248203972,21.276180394073673,,,,,,,,,,,,,,,,,,,,,,,97.64508552742444,96.08970243946334,,,,,,,,,,,,,,,,
GLO,32701,24,,,,,,,-109.71931710400075,-111.65527018996983,,,,,,,,,,,,,,,,,,,,,,,-111.38975599353887,-118.5952602256671,,,,,,,,,,,,,,,,,,,,,,,0.09094378828217782,0.04334728119506015,,,,,,,,,,,,,,,,,,,,,,,17.619185679969245,21.250012015301923,,,,,,,,,,,,,,,,,,,,,,,97.64175873263325,96.09219123534633,,,,,,,,,,,,,,,,
GLO,32731,24,,,,,,,-109.50688198504697,-111.60600266995014,,,,,,,,,,,,,,,,,,,,,,,-111.17651065695492,-118.4659574412588,,,,,,,,,,,,,,,,,,,,,,,0.02636915390563121,0.07237317091340045,,,,,,,,,,,,,,,,,,,,,,,17.599315981930307,21.223991732021684,,,,,,,,,,,,,,,,,,,,,,,97.63841177669894,96.09456647942899,,,,,,,,,,,,,,,,
GLO,32761,24,,,,,,,-109.34422696079345,-111.62241580994929,,,,,,,,,,,,,,,,,,,,,,,-111.01957460799846,-118.43545658166808,,,,,,,,,,,,,,,,,,,,,,,0.04750594695693514,0.05466416590675384,,,,,,,,,,,,,,,,,,,,,,,17.57937087572538,21.198116933478374,,,,,,,,,,,,,,,,,,,,,,,97.6350448045708,96.09682942616854,,,,,,,,,,,,,,,,
GLO,32791,24,,,,,,,-109.15295872030211,-111.64292856751149,,,,,,,,,,,,,,,,,,,,,,,-110.82953078495984,-118.41173370702049,,,,,,,,,,,,,,,,,,,,,,,0.018092045136899087,0.08436292716935062,,,,,,,,,,,,,,,,,,,,,,,17.5593490705229,21.17238504482974,,,,,,,,,,,,,,,,,,,,,,,97.63165796115109,96.09898130584556,,,,,,,,,,,,,,,,
GLO,32821,24,,,,,,,-108.93237016128234,-111.59155300861991,,,,,,,,,,,,,,,,,,,,,,,-110.60533642930778,-118.28243088628547,,,,,,,,,,,,,,,,,,,,,,,0.04697121670964442,0.05941866196146258,,,,,,,,,,,,,,,,,,,,,,,17.53924926277728,21.14679352635871,,,,,,,,,,,,,,,,,,,,,,,97.62825139134844,96.10102332505755,,,,,,,,,,,,,,,,
