system,SOD,nPRN,vtec_1,vtec_2,vtec_3,stec_1,stec_2,stec_3,roti_1,roti_2,roti_3,ipplat_1,ipplat_2,ipplat_3,ipplon_1,ipplon_2,ipplon_3
QZS,42211,3,-71.5224247623993,-57.24467264854216,-60.94444842637225,-68.69448880116107,-47.627377259549384,-56.667811971152794,0.014962977970470243,0.05992728890198748,0.02682992134766845,20.676208232250282,18.602149125410392,17.592886919027173,101.67797031594276,102.55002799414623,101.07409885560143
QZS,42241,3,-71.47025830003412,-57.10725044919765,-60.81402275969279,-68.62159645663598,-47.45557779870345,-56.50582755650638,0.026420754876746496,0.04367162124946091,0.02682992130258948,20.674396841369628,18.608179827076423,17.592877953388278,101.67932242943115,102.54405953767098,101.07409774669311
QZS,42271,3,-71.43212169101479,-56.980827858889,-60.75110614341801,-68.56833379960358,-47.29991385687166,-56.42768079980639,0.041340492415766567,0.05397014687791898,0.026128413448112713,20.672570104472427,18.61419581420065,17.592868973372997,101.68067169652659,102.53810799977718,101.0740966352869
QZS,42301,3,-71.3889576933049,-56.88339935111813,-60.618104820349416,-68.50805689160609,-47.18636150836907,-56.2624973934283,0.045775714722391704,0.0370335295416251,0.04618389969520214,20.67072802966959,18.620197161073385,17.592859979024738,101.68201807508093,102.53217335465295,101.07409552137766
QZS,42331,3,-71.33910279991716,-56.766171193120485,-60.539340536559806,-68.43844041318005,-47.04431503065363,-56.164669526126154,0.04263322613461699,0.04231537284863433,0.02372797552785893,20.668870625331547,18.62618394161749,17.592850970386976,101.68336152305916,102.52625557649698,101.0740944049602
QZS,42361,3,-71.32619473159991,-56.682269128099854,-60.39856028963307,-68.42049345873511,-46.95053379765583,-55.9898252850334,0.03682445639378425,0.03682194723100239,0.04500911754515697,20.666997900086738,18.63215622939344,17.592841947503256,101.68470199854181,102.52035463951643,101.0740932860294
QZS,42391,3,-71.29995238695138,-56.58861529250812,-60.27099032920917,-68.38391890223005,-46.84276258667732,-55.83138640413129,0.03456457834311744,0.03612790862274179,0.01642292816934546,20.665109862819595,18.638114097601882,17.592832910417194,101.6860394597278,102.5144705179262,101.07409216458011
QZS,42421,3,-71.29861097070945,-56.49226381803699,-60.181623156030945,-68.38217173122518,-46.73120145203578,-55.72039057663199,0.027375295907998354,0.03721678598281453,0.04154916026803268,20.663206522674436,18.64405761907524,17.59282385917248,101.6873738649328,102.50860318596004,101.07409104060712
QZS,42451,3,-71.27914738378325,-56.417782046863195,-60.05245014475838,-68.35510362441863,-46.65123047643218,-55.559960539712584,0.025872266161644206,0.04865048849872989,0.03890987861050549,20.6612878890524,18.649986866284323,17.59281479381287,101.68870517259266,102.50275261786584,101.07408991410527
QZS,42481,3,-71.27671029599081,-56.34709839581157,-59.872050823125264,-68.35185344095248,-46.576770855019994,-55.33591334858318,0.03369167669163919,0.04427185076925374,0.024849621180248978,20.659353971611537,18.65590191133994,17.59280571438218,101.69003334126475,102.49691878790655,101.07408878506948
